DAY,MAX,MIN,AVG,NORM,DEPART,HEAT,COOL,TOTAL (EQUIV),SNOW & ICE,AVG WIND SPEED (MPH),FASTEST SPEED ,DIR,TOTAL SUNSHINE (MIN),% POSS,SKY COVER (TENTHS),WEATHER OCCUR.
1,-14,-25,-19,6,-25,84,0,0.00,0.0,55.3,79,310 (NW),488,89,4,12
2,-7,-23,-15,6,-21,80,0,0.01,0.7,53.8,84,280 (W),310,57,6,1269
3,7,-7,0,6,-6,65,0,T,T,39.2,64,280 (W),400,73,8,1269
4,14,-9,3,5,-2,62,0,1.14,10.1,49.8,122,330 (NW),0,0,10,1269
5,-5,-34,-19,5,-24,84,0,0.16,2.3,66.7,118,300 (NW),0,0,10,1269
6,-16,-38,-27,5,-32,92,0,0.00,0.0,83.6,115,290 (W),0,0,10,1269
7,4,-21,-8,5,-13,73,0,0.08,1.0,65.5,113,320 (NW),455,82,5,1269
8,21,0,11,5,6,54,0,0.21,2.5,66.0,95,230 (SW),0,0,10,1269
9,13,1,7,5,2,58,0,0.36,3.3,71.5,103,310 (NW),0,0,10,1269
10,32,7,20,5,15,45,0,T,T,40.2,74,320 (NW),546,98,5,126
11,39,30,35,5,30,30,0,0.66,0.1,62.3,97,260 (W),0,0,10,1246
12,45,34,40,5,35,25,0,1.01,0.0,50.9,96,240 (SW),0,0,10,12
13,43,0,22,5,17,43,0,1.21,0.0,35.8,81,330 (NW),215,38,8,126
14,9,-5,2,5,-3,63,0,0.00,0.0,18.7,38,310 (NW),551,98,3,
15,14,7,11,5,6,54,0,0.00,0.0,11.6,23,150 (SE),525,93,6,
16,11,2,7,5,2,58,0,0.04,1.3,34.4,53,270 (W),0,0,10,1269
17,13,3,8,4,4,57,0,0.11,2.0,26.0,42,250 (W),0,0,10,1269
18,26,8,17,4,13,48,0,0.00,0.0,43.2,79,280 (W),571,100,1,126
19,22,8,15,4,11,50,0,0.01,0.2,35.8,71,280 (W),471,82,5,126
20,28,13,21,4,17,44,0,T,T,70.9,104,290 (W),0,0,10,1246
21,19,12,16,4,12,49,0,0.00,0.0,50.5,91,300 (NW),0,0,10,126
22,24,15,20,4,16,45,0,0.09,0.8,22.2,56,170 (S),0,0,10,126
23,34,16,25,4,21,40,0,0.63,1.5,47.6,86,270 (W),0,0,10,12469
24,17,-12,3,4,-1,62,0,0.10,1.0,72.2,102,280 (W),370,63,8,1269
25,-4,-16,-10,4,-14,75,0,0.00,0.0,63.8,91,310 (NW),405,69,6,126
26,18,-16,1,4,-3,64,0,0.00,0.0,45.5,94,310 (NW),588,100,1,126
27,29,16,23,5,18,42,0,0.07,0.5,53.4,95,260 (W),220,37,9,126
28,24,9,17,5,12,48,0,0.07,0.8,53.7,92,260 (W),40,7,10,126
29,14,7,11,5,6,54,0,0.01,0.1,18.6,41,300 (NW),185,31,8,126
30,12,-13,0,5,-5,65,0,0.00,0.0,39.0,82,310 (NW),0,0,10,126
31,18,-14,2,5,-3,63,0,0.09,1.1,50.8,97,240 (SW),465,78,4,1269
